,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
0,Oppo Reno4 Lite (CPH2125),6.43 İnç,128 GB,8 GB,57puan,4000 mAh,Tek Hat,Var,48 MP,Var,60 Hz,Android,Var,"9.499,00"
1,Poco M3 Pro 5G (6 GB / 128 GB),6.5 İnç,128 GB,6 GB,57puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Var,"7.763,99"
2,Samsung Galaxy A23 (4 GB / 128 GB) (SM-A235F),6.6 İnç,128 GB,4 GB,57puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,Var,"6.328,67"
3,LG G7 ThinQ (G710),6.1 İnç,64 GB,4 GB,57puan,3000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
4,Honor 20 (YAL-L21),6.26 İnç,128 GB,6 GB,57puan,3750 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,
5,"Apple iPhone XR (128 GB) (MRYD2TU/A, MRYH2TU/A, MRYG2TU/A, MRYF2TU/A, MRYE2TU/A, MRY92TU/A)",6.1 İnç,128 GB,3 GB,57puan,2942 mAh,Çift Hat,Var,12 MP,Yok,60 Hz,iOS,Var,"19.499,00"
6,Oppo A96 (CPH2333),6.59 İnç,128 GB,6 GB,57puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,Var,"6.999,00"
7,HTC U11+ Plus,6.0 İnç,128 GB,6 GB,57puan,3930 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
8,Tecno Pova Neo 2 (6 GB / 128 GB) (LG6n),6.82 İnç,128 GB,6 GB,57puan,7000 mAh,Çift Hat,Var,16 MP,Var,90 Hz,Android,Var,"5.156,00"
9,Redmi 9T (128 GB),6.53 İnç,128 GB,4 GB,57puan,6000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,,"4.999,00"
10,realme XT,6.4 İnç,128 GB,8 GB,57puan,4000 mAh,Çift Hat,Var,64 MP,Var,60 Hz,Android,Yok,
11,Xiaomi Redmi Note 8 Pro (64 GB),6.53 İnç,64 GB,6 GB,57puan,4500 mAh,Çift Hat,Var,64 MP,Var,60 Hz,Android,Var,"5.999,99"
12,realme 6 (4 GB) (RMX2001),6.5 İnç,128 GB,4 GB,57puan,4300 mAh,Çift Hat,Var,64 MP,Var,90 Hz,Android,Yok,
13,"Apple iPhone SE 2 (2020) (MX9T2TU/A, MX9R2TU/A, MX9U2TU/A, MHGQ3TU/A)",4.7 İnç,64 GB,3 GB,57puan,1821 mAh,,Var,12 MP,Var,60 Hz,iOS,Var,"15.422,03"
14,Redmi Note 10 5G (128 GB / 4 GB),6.5 İnç,128 GB,4 GB,57puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Var,"5.995,00"
15,Samsung Galaxy S8+ Plus (Tek Hat) (SM-G955F),6.2 İnç,64 GB,4 GB,57puan,3500 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,"4.259,00"
16,Oppo Reno (CPH1917),6.4 İnç,256 GB,6 GB,57puan,3765 mAh,Tek Hat,Var,48 MP,Var,60 Hz,Android,Var,
17,Xiaomi Mi 8 (128 GB),6.21 İnç,128 GB,6 GB,57puan,3400 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
18,Oppo RX17 Pro,6.4 İnç,128 GB,6 GB,56puan,3700 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
19,Huawei Mate 9 Porsche Design,5.5 İnç,256 GB,6 GB,56puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
20,Tecno Camon 18 (CH6n),6.8 İnç,128 GB,6 GB,56puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Var,"5.552,00"
21,Huawei P40 Lite (JNY-LX1),6.4 İnç,128 GB,6 GB,56puan,4200 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"7.399,00"
22,Samsung Galaxy M30s (SM-M307FN/DS),6.4 İnç,64 GB,4 GB,56puan,6000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"15.999,00"
23,Samsung Galaxy M21 (SM-M215F/DSN),6.4 İnç,64 GB,4 GB,56puan,6000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"8.298,00"
24,OnePlus 6,6.28 İnç,128 GB,8 GB,56puan,3300 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
25,Meizu 16th (8 GB / 128 GB),6.0 İnç,128 GB,8 GB,56puan,3010 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
26,"Apple iPhone 8 Plus (128 GB) (MX242TU/A, MX252TU/A, MX262TU/A)",5.5 İnç,128 GB,3 GB,56puan,2675 mAh,Tek Hat,Var,12 MP,Var,60 Hz,iOS,Var,"9.099,00"
27,Poco M5 (6 GB / 128 GB),6.58 İnç,128 GB,6 GB,56puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,,"6.999,00"
28,realme 7 (RMX2151),6.5 İnç,64 GB,6 GB,56puan,5000 mAh,Çift Hat,Var,64 MP,Var,90 Hz,Android,Yok,
29,TCL 10 Plus (64 GB) (T782H),6.47 İnç,64 GB,6 GB,56puan,4500 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,
30,Samsung Galaxy A31 (SM-A315F/DS),6.4 İnç,128 GB,4 GB,56puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"5.789,00"
31,Samsung Galaxy S7 edge (128GB) (SM-G935F),5.5 İnç,128 GB,4 GB,56puan,3600 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
32,Samsung Galaxy A32 (64 GB) (SM-A325F),6.4 İnç,64 GB,4 GB,56puan,5000 mAh,Çift Hat,Var,64 MP,Var,90 Hz,Android,Var,
33,Samsung Galaxy A22 (128 GB),6.4 İnç,128 GB,4 GB,56puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Var,"6.369,02"
34,Samsung Galaxy S8 (Dual) (Çift Hat) (SM-G950FD),5.8 İnç,64 GB,4 GB,56puan,3000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,"6.149,00"
35,Samsung Galaxy S8 (SM-G950F),5.8 İnç,64 GB,4 GB,56puan,3000 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,"3.699,00"
36,Xiaomi Mi 9 SE,5.97 İnç,64 GB,6 GB,56puan,3070 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,
37,Huawei Nova 9 SE (JLN-LX1),6.78 İnç,128 GB,8 GB,55puan,4000 mAh,Çift Hat,Var,108 MP,Var,90 Hz,Android,Var,"9.499,00"
38,Huawei P10 Plus (128 GB / Tek Hat) (VKY-L09),5.5 İnç,128 GB,6 GB,55puan,3750 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
39,Oppo A91 (CPH2021),6.4 İnç,128 GB,8 GB,55puan,4025 mAh,,Var,48 MP,Var,60 Hz,Android,Var,
40,Oppo A72 (CPH2067),6.5 İnç,128 GB,4 GB,55puan,5000 mAh,Tek Hat,Var,48 MP,Var,60 Hz,Android,Var,"7.447,02"
41,Vivo Y22s (6 GB / 128 GB),6.55 İnç,128 GB,6 GB,55puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,Var,"6.546,53"
42,"Apple iPhone XR (MRY42TU/A, MRYA2TU/A, MRY82TU/A, MRY72TU/A, MRY62TU/A, MRY52TU/A)",6.1 İnç,64 GB,3 GB,55puan,2942 mAh,Çift Hat,Var,12 MP,Yok,60 Hz,iOS,Var,"17.600,00"
43,Vivo X50 Lite (V1937),6.38 İnç,128 GB,8 GB,55puan,4500 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,,"7.099,00"
44,Tecno Camon 19 Neo (CH6i),6.8 İnç,128 GB,6 GB,55puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"6.200,00"
45,Poco M3 (128 GB),6.53 İnç,128 GB,4 GB,55puan,6000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"5.290,00"
46,Huawei Mate 10 (Tek Hat) (ALP-L09),5.9 İnç,64 GB,4 GB,55puan,4000 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
47,Samsung Galaxy M22 (SM-M225F),6.4 İnç,128 GB,4 GB,55puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Var,"6.999,83"
48,Oppo A74 (CPH2219),6.43 İnç,128 GB,4 GB,55puan,5000 mAh,Tek Hat,Var,48 MP,Var,60 Hz,Android,Var,"6.498,00"
49,Samsung Galaxy A23 (4 GB / 64 GB),6.6 İnç,64 GB,4 GB,55puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,Var,"7.299,00"
50,Redmi 9T (64 GB),6.53 İnç,64 GB,4 GB,55puan,6000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,,"4.556,02"
